company_name,address,phone_number,website,email
D.L.F Cyber City (DLF IT Park).,"DLF IT SEZ Park Main Entrance, Ramapuram, Chennai, Tamil Nadu 600089",N/A,N/A,N/A
DLF Cybercity Chennai,"124, Mount Poonamallee Rd, Manapakkam, Chennai, Tamil Nadu 600089",0124 456 8900,https://www.dlf.in/customer-Support,N/A
DLF Limited - Corporate Office Chennai,"Old No.828, New, 268, Poonamallee High Rd, next to KKR ENT Hospital, Kilpauk, Chennai, Tamil Nadu 600010",044 4399 8888,http://www.dlf.in/,N/A
BLOCK 4 DLF IT Park,"Block 4, DLF IT Park Rd, Ramapuram, Chennai, Tamil Nadu 600089",098910 67492,https://www.dlf.in/customer-Support,N/A
DLF Downtown Chennai,"Jawaharlal Nehru Salai, next to American International School, Tharamani, Chennai, Tamil Nadu 600113",0124 456 8900,https://www.dlf.in/,N/A
DLF Downtown Chennai,"Jawaharlal Nehru Salai, next to American International School, Tharamani, Chennai, Tamil Nadu 600113",0124 456 8900,https://www.dlf.in/,N/A
Lodha Finance India Ltd,"No.14, 44, Whites Rd, Express Estate, Royapettah, Chennai, Tamil Nadu 600002",072999 33334,N/A,N/A
Lodha Manyata Tech- Park,"2, Thanisandra Main Rd, Bharath Nagar, Manayata Tech Park, Thanisandra, Bengaluru, Karnataka 560077",N/A,N/A,N/A
Lodha Sarjapur Road,"Lodha Sarjapur, Sarjapur, Main Road, Dommasandra, Bengaluru, Karnataka 562125",N/A,https://www.lodhagroup.com/projects/residential-property-in-bangalore/lodha-sarjapur-road?publisher=Google-Lodha-Sarjapur-Organic-RI&campaign=Organic-Search&adgroup=Lodha-Sarjapur-GMB&digital_source=GMB-ClickLink&digital_medium=Unpaid&banner_size=GMB-ClickLink&utm_source=Google&utm_medium=Unpaid&utm_campaign=Lodha-Sarjapur-GMB&utm_content=GMB-Listing&utm_creative_format=GMB-Listing&utm_marketing_tactic=prospecting,N/A
"LODHA Casa Paradiso, Hyderabad","Sanath Nagar Main Rd, Near Fateh Nagar MMTS, Allauddin Basthi, Sanath Nagar, Hyderabad, Telangana 500018",022 6716 1111,https://www.lodhagroup.com/all-projects?publisher=Google-casa-paradiso-hyderabad-Organic-RI&campaign=Organic-Search&adgroup=casa-paradiso-hyderabad-GMB&digital_source=GMB-ClickLink&digital_medium=Unpaid&banner_size=GMB-ClickLink&utm_source=Google&utm_medium=Unpaid&utm_campaign=casa-paradiso-hyderabad-GMB&utm_content=GMB-Listing&utm_creative_format=GMB-Listing&utm_marketing_tactic=prospecting,N/A
