company_name,address,phone_number,website,email
Ziya Restaurant,"The Oberoi, Mumbai, Nariman Point, Mumbai, Maharashtra 400021",022 6632 6210,https://www.oberoihotels.com/hotels-in-mumbai/dining/ziya/?utm_source=GMBlisting&utm_medium=organic,N/A
Hornby's Pavilion,"287, Dr Babasaheb Ambedkar Rd, Parel, Mumbai, Maharashtra 400012",022 6704 5121,http://www.itchotels.in/hotels/itcgrandcentral/hornbys-pavilion-restaurant.aspx,N/A
PONDICHÉRY CAFÉ - ALL-DAY DINING,"C 57, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",022 6117 5000,https://sofitel.accor.com/en/hotels/6451/R002.restaurant.html,N/A
O Pedro - BKC,"Jet Airways, 2, Godrej BKC, Plot No C-68, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",075065 25554,https://www.opedromumbai.com/,N/A
Nawab Saheb,"Jet Airways, 2, Godrej BKC, Plot No C-68, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",075065 25554,https://www.opedromumbai.com/,N/A
Lake View Cafe,"The Westin Mumbai Powai Lake, Plot No 2 & 3B, Saki Vihar Rd, near Chinmayanand Ashram, Powai, Mumbai, Maharashtra 400087",086574 15264,http://lakeviewcafepowai.com/,N/A
Ram Ashraya,"Shop 3-6 ground floor, Jamnadas Mansion, bazar, Laxmi Narayan Ln, Matunga (C.R.), Matunga East, Mumbai, Maharashtra 400019",022 2410 2369,https://ram-ashraya-restaurant.shop/,N/A
Nusara Kitchen & Bar,"Shop 3-6 ground floor, Jamnadas Mansion, bazar, Laxmi Narayan Ln, Matunga (C.R.), Matunga East, Mumbai, Maharashtra 400019",022 2410 2369,https://ram-ashraya-restaurant.shop/,N/A
Peshwa Pavilion,"International Airport, Itc Maratha, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099",022 2830 3030,https://www.itchotels.com/in/en/itcmaratha-mumbai?utm_source=google&utm_medium=organic%20Search&utm_term=itcmaratha%20Restaurants&utm_campaign=listing,N/A
Shree Thaker Bhojanalay (Since 1945),"International Airport, Itc Maratha, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099",022 2830 3030,https://www.itchotels.com/in/en/itcmaratha-mumbai?utm_source=google&utm_medium=organic%20Search&utm_term=itcmaratha%20Restaurants&utm_campaign=listing,N/A
